company,category,address,city,district,postalCode,phone,email,all_emails,website,domain,rating,reviews,priority_score,placeId,url,searchString
Budaklima - Budai Hűtéstechnika Kft- klímaszerelés és karbantartás,Klíma- és fűtésszerelő,"Budapest, Alabástrom u. 45, 1116 Magyarország",Budapest,XI. kerület,1116,+36 20 404 0404,klima@budaklima.hu,klima@budaklima.hu,https://www.budaklima.hu/,budaklima.hu,4.9,1570,1619.0,ChIJh6G56-bdQUcRwajt4EPepho,https://www.google.com/maps/search/?api=1&query=Budaklima%20-%20Budai%20H%C5%B1t%C3%A9stechnika%20Kft-%20kl%C3%ADmaszerel%C3%A9s%20%C3%A9s%20karbantart%C3%A1s&query_place_id=ChIJh6G56-bdQUcRwajt4EPepho,autóklíma szerviz
AKH - Szentmihályi út - Gumiszerviz,Gumiabroncs-szaküzlet,"Budapest, Szentmihályi út 68, 1154 Magyarország",Budapest,XV. kerület,1154,+36 30 566 5432,info@gumi.hu,info@gumi.hu,https://gumi.hu/szerviz/akh-szentmihalyi-ut-gumiszerviz,gumi.hu,4.3,1405,1448.0,ChIJ2Zu28_naQUcRu5nCn1dSntE,https://www.google.com/maps/search/?api=1&query=AKH%20-%20Szentmih%C3%A1lyi%20%C3%BAt%20-%20Gumiszerviz&query_place_id=ChIJ2Zu28_naQUcRu5nCn1dSntE,gumiszerviz
AKH Abroncs Kereskedőház Kft.,Gumiabroncs-szerviz,"Budapest, Megyeri út 15, 1044 Magyarország",Budapest,IV. kerület,1044,+36 1 371 3333,info@gumi.hu,info@gumi.hu,https://gumi.hu/szerviz/akh-megyeri-ut-gumiszerviz-autoszerviz,gumi.hu,4.4,1101,1145.0,ChIJiT926BjaQUcRtNjZLCA49s8,https://www.google.com/maps/search/?api=1&query=AKH%20Abroncs%20Keresked%C5%91h%C3%A1z%20Kft.&query_place_id=ChIJiT926BjaQUcRtNjZLCA49s8,autószerviz
Taylor kft Taylor Gumiszervíz,Gumiabroncs-szaküzlet,"Budapest, Méta u. 13, 1194 Magyarország",Budapest,XIX. kerület,1194,+36 1 280 6567,info@autotire.hu,info@autotire.hu,https://autotire.hu/,autotire.hu,4.6,1001,1047.0,ChIJkYc5BG_CQUcR81JKPuffFEE,https://www.google.com/maps/search/?api=1&query=Taylor%20kft%20Taylor%20Gumiszerv%C3%ADz&query_place_id=ChIJkYc5BG_CQUcR81JKPuffFEE,autójavítás
Ford Petrányi Budaörsi út,Ford márkakereskedő,"Budapest, Budaörsi út 179, 1112 Magyarország",Budapest,XI. kerület,1112,+36 1 881 0000,kontakt@petranyiauto.hu,kontakt@petranyiauto.hu,http://www.fordpetranyi.hu/,petranyiauto.hu,4.5,993,1038.0,ChIJc6jRMuLdQUcRzkPZF1xaXuU,https://www.google.com/maps/search/?api=1&query=Ford%20Petr%C3%A1nyi%20Buda%C3%B6rsi%20%C3%BAt&query_place_id=ChIJc6jRMuLdQUcRzkPZF1xaXuU,műszaki vizsga
"AKH - Fehérvári út - Autószerviz, Gumiszerviz",Gumiabroncs-szerviz,"Budapest, Fehérvári út 71-73, 1119 Magyarország",Budapest,XI. kerület,1119,+36 1 371 3333,info@gumi.hu,info@gumi.hu,https://gumi.hu/szerviz/akh-fehervari-ut-gumiszerviz-autoszerviz,gumi.hu,4.4,967,1011.0,ChIJ5fjoMrvdQUcRC3PadDUGBhc,https://www.google.com/maps/search/?api=1&query=AKH%20-%20Feh%C3%A9rv%C3%A1ri%20%C3%BAt%20-%20Aut%C3%B3szerviz%2C%20Gumiszerviz&query_place_id=ChIJ5fjoMrvdQUcRC3PadDUGBhc,gumi csere
VIP GUMI KFT,Gumiabroncs-szaküzlet,"Budapest, Építész u. 8, 1116 Magyarország",Budapest,XI. kerület,1116,+36 20 619 5871,vipgumikft@gmail.com,vipgumikft@gmail.com,http://nonstop-gumis.hu/,nonstop-gumis.hu,4.4,885,929.0,ChIJSWW3hZvdQUcR4OIs_2iMsmk,https://www.google.com/maps/search/?api=1&query=VIP%20GUMI%20KFT&query_place_id=ChIJSWW3hZvdQUcR4OIs_2iMsmk,gumi csere
Avalon Bosch Car Service,Autójavító,"Budapest, Tengerszem u. 106, 1142 Magyarország",Budapest,XIV. kerület,1142,+36 1 273 2770,service@avalon-care.hu,service@avalon-care.hu;rent@avalon-care.hu,http://www.avalon-service.hu/,avalon-service.hu,4.6,820,866.0,ChIJDZET36bbQUcRqAB4sDFdNHA,https://www.google.com/maps/search/?api=1&query=Avalon%20Bosch%20Car%20Service&query_place_id=ChIJDZET36bbQUcRqAB4sDFdNHA,autó szerviz
Duna Autó Zrt.,Autószerelő,"Budapest, Zay út 24, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 801 4242,info@dunaauto.hu,info@dunaauto.hu,http://www.dunaauto.hu/,dunaauto.hu,4.3,805,848.0,ChIJ3af3nnLZQUcR53ju_-o8Pws,https://www.google.com/maps/search/?api=1&query=Duna%20Aut%C3%B3%20Zrt.&query_place_id=ChIJ3af3nnLZQUcR53ju_-o8Pws,autó szerviz
"Olajshop.hu Autószerviz Budapest - Óbuda, Szentendrei út",Autójavító,"Budapest, Szentendrei út 217, 1039 Magyarország",Budapest,III. kerület,1039,+36 20 349 5179,szerviz@fitauto.hu,szerviz@fitauto.hu;szentendrei@fitauto.hu;beke@fitauto.hu;napfeny@fitauto.hu,https://www.fitauto.hu/szervizek/budapest--obuda-szentendrei-ut/8,fitauto.hu,4.4,655,699.0,ChIJu0MSCZXZQUcRSGhjuk7dIcc,https://www.google.com/maps/search/?api=1&query=Olajshop.hu%20Aut%C3%B3szerviz%20Budapest%20-%20%C3%93buda%2C%20Szentendrei%20%C3%BAt&query_place_id=ChIJu0MSCZXZQUcRSGhjuk7dIcc,autószerviz
